employee_id,employment_type,fte,start_date,termination_date,base_rate
E001,FULL_TIME,1.0,2010-01-10,,30.00
E002,PART_TIME,0.6,2022-03-01,,28.50
E003,FULL_TIME,1.0,2012-11-15,2024-06-30,32.00
E004,PART_TIME,0.5,2015-07-01,,29.00
E005,FULL_TIME,1.0,2018-09-10,2024-03-15,29.75
E006,PART_TIME,0.8,2020-02-20,,27.00
E007,FULL_TIME,1.0,2024-04-01,,31.00
E008,CASUAL,1.0,2024-01-01,,34.00
E009,FULL_TIME,1.0,2020-01-01,2024-02-15,33.00
E010,FULL_TIME,1.0,2021-06-01,2024-01-31,31.50
E011,FULL_TIME,1.0,2019-03-10,,34.25
E012,FULL_TIME,1.0,2018-08-20,,29.80
E013,FULL_TIME,1.0,2017-11-05,,30.40
E014,FULL_TIME,1.0,2022-02-01,,30.10
E015,FULL_TIME,1.0,2022-01-15,,30.00
E016,FULL_TIME,1.0,2021-09-01,,31.00
E017,FULL_TIME,1.0,,,
E018,FULL_TIME,1.0,2015-01-01,,
E019,FULL_TIME,1.0,2014-01-01,,
E020,FULL_TIME,1.0,2010-01-01,,
E021,FULL_TIME,1.0,2012-01-01,,
E022,FULL_TIME,1.0,2012-01-01,,
E024,FULL_TIME,1.0,2015-01-01,,
E025,FULL_TIME,1.0,2010-01-01,2024-03-15,
E030,FULL_TIME,1.0,2022-05-01,,32.00
E040,FULL_TIME,1.0,2000-01-01,,35.00
E041,FULL_TIME,1.0,2010-01-01,,34.00
E042,FULL_TIME,1.0,2012-05-01,,33.00
E043,FULL_TIME,1.0,2020-07-01,,32.50
E044,FULL_TIME,1.0,2017-07-01,,31.00
E045,PART_TIME,0.6,2010-01-01,,28.00
E046,FULL_TIME,1.0,,,32.00
E047,FULL_TIME,1.0,2010-01-01,2024-02-15,34.00
E048,FULL_TIME,1.0,2020-01-01,,30.00
E049,FULL_TIME,1.0,2012-01-01,,33.00
E050,FULL_TIME,1.0,2010-01-01,,36.00
T001,FULL_TIME,1.0,2020-01-01,2024-03-20,30.00
T002,FULL_TIME,1.0,2019-01-01,2024-03-20,30.00
T003,FULL_TIME,1.0,2018-01-01,2024-03-20,30.00
T004,FULL_TIME,1.0,2017-01-01,2024-03-20,30.00
T005,FULL_TIME,1.0,2016-01-01,2024-03-20,30.00
T006,FULL_TIME,1.0,2015-01-01,2024-03-20,30.00